日期,賣權成交量,買權成交量,買賣權成交量比率%,賣權未平倉量,買權未平倉量,買賣權未平倉量比率%
2023/01/31,273744,330999,82.70,138214,170220,81.20,
2023/01/30,349525,410532,85.14,89495,87502,102.28,
2023/01/17,142037,147777,96.12,200645,191808,104.61,
2023/01/16,195256,200493,97.39,189684,180133,105.30,
2023/01/13,261440,305050,85.70,176152,175608,100.31,
2023/01/12,147592,164753,89.58,161427,160363,100.66,
2023/01/11,553048,555559,99.55,142750,131979,108.16,
2023/01/10,479056,469606,102.01,301387,227327,132.58,
2023/01/09,596922,484056,123.32,276672,193739,142.81,
2023/01/06,285047,262552,108.57,214223,197219,108.62,
2023/01/05,224444,228660,98.16,172712,184092,93.82,
2023/01/04,563562,559566,100.71,135015,145210,92.98,
2023/01/03,493351,496771,99.31,222208,207378,107.15,
