2022-01-01,9
2022-01-02,100
2022-01-03,15
2022-01-04,64
2022-01-05,28
2022-01-06,89
2022-01-07,93
2022-01-08,29
2022-01-09,8
2022-01-10,73
2022-01-11,0
2022-01-12,40
2022-01-13,36
2022-01-14,16
2022-01-15,100
2022-01-16,11
2022-01-17,54
2022-01-18,88
2022-01-19,62
2022-01-20,33
2022-01-21,72
2022-01-22,100
2022-01-23,78
2022-01-24,49
2022-01-25,51
2022-01-26,54
2022-01-27,77
2022-01-28,69
2022-01-29,13
2022-01-30,25
2022-01-31,13
2022-02-01,92
2022-02-02,86
2022-02-03,30
2022-02-04,30
2022-02-05,89
2022-02-06,12
2022-02-07,65
2022-02-08,31
2022-02-09,57
2022-02-10,36
2022-02-11,27
2022-02-12,18
2022-02-13,93
2022-02-14,77
2022-02-15,22
2022-02-16,23
2022-02-17,94
2022-02-18,11
2022-02-19,28
2022-02-20,74
2022-02-21,88
2022-02-22,9
2022-02-23,15
2022-02-24,18
2022-02-25,80
2022-02-26,71
2022-02-27,88
2022-02-28,11
2022-03-01,17
2022-03-02,46
2022-03-03,7
2022-03-04,75
2022-03-05,28
2022-03-06,33
2022-03-07,84
2022-03-08,96
2022-03-09,88
2022-03-10,44
2022-03-11,5
2022-03-12,4
2022-03-13,71
2022-03-14,88
2022-03-15,88
2022-03-16,50
2022-03-17,54
2022-03-18,34
2022-03-19,15
2022-03-20,77
2022-03-21,88
2022-03-22,15
2022-03-23,6
2022-03-24,85
2022-03-25,22
2022-03-26,11
2022-03-27,12
2022-03-28,92
2022-03-29,96
2022-03-30,62
2022-03-31,57
2022-04-01,79
2022-04-02,42
2022-04-03,57
2022-04-04,97
2022-04-05,50
2022-04-06,45
2022-04-07,40
2022-04-08,89
2022-04-09,73
2022-04-10,37
2022-04-11,0
2022-04-12,18
2022-04-13,23
2022-04-14,3
2022-04-15,29
2022-04-16,16
2022-04-17,84
2022-04-18,82
2022-04-19,14
2022-04-20,51
2022-04-21,79
2022-04-22,17
2022-04-23,50
2022-04-24,53
2022-04-25,25
2022-04-26,48
2022-04-27,17
2022-04-28,32
2022-04-29,81
2022-04-30,80
2022-05-01,41
2022-05-02,90
2022-05-03,12
2022-05-04,30
2022-05-05,81
2022-05-06,17
2022-05-07,16
2022-05-08,0
2022-05-09,31
2022-05-10,73
2022-05-11,64
2022-05-12,38
2022-05-13,22
2022-05-14,96
2022-05-15,66
2022-05-16,67
2022-05-17,62
2022-05-18,95
2022-05-19,99
2022-05-20,27
2022-05-21,82
2022-05-22,62
2022-05-23,77
2022-05-24,48
2022-05-25,93
2022-05-26,75
2022-05-27,86
2022-05-28,37
2022-05-29,11
2022-05-30,21
2022-05-31,33
2022-06-01,95
2022-06-02,43
2022-06-03,88
2022-06-04,96
2022-06-05,73
2022-06-06,40
2022-06-07,43
2022-06-08,90
2022-06-09,71
2022-06-10,8
2022-06-11,85
2022-06-12,72
2022-06-13,28
2022-06-14,30
2022-06-15,89
2022-06-16,25
2022-06-17,78
2022-06-18,81
2022-06-19,85
2022-06-20,62
2022-06-21,13
2022-06-22,41
2022-06-23,33
2022-06-24,4
2022-06-25,87
2022-06-26,94
2022-06-27,28
2022-06-28,39
2022-06-29,91
2022-06-30,9
2022-07-01,7
2022-07-02,22
2022-07-03,32
2022-07-04,3
2022-07-05,9
2022-07-06,52
2022-07-07,76
2022-07-08,68
2022-07-09,30
2022-07-10,70
2022-07-11,74
2022-07-12,30
2022-07-13,9
2022-07-14,2
2022-07-15,65
2022-07-16,13
2022-07-17,75
2022-07-18,52
2022-07-19,5
2022-07-20,93
2022-07-21,84
2022-07-22,48
2022-07-23,62
2022-07-24,42
2022-07-25,34
2022-07-26,40
2022-07-27,46
2022-07-28,32
2022-07-29,94
2022-07-30,86
2022-07-31,58
2022-08-01,69
2022-08-02,45
2022-08-03,18
2022-08-04,50
2022-08-05,44
2022-08-06,1
2022-08-07,63
2022-08-08,77
2022-08-09,18
2022-08-10,27
2022-08-11,83
2022-08-12,37
2022-08-13,71
2022-08-14,88
2022-08-15,15
2022-08-16,55
2022-08-17,6
2022-08-18,44
2022-08-19,9
2022-08-20,50
2022-08-21,0
2022-08-22,44
2022-08-23,68
2022-08-24,14
2022-08-25,4
2022-08-26,6
2022-08-27,42
2022-08-28,73
2022-08-29,44
2022-08-30,100
2022-08-31,90
2022-09-01,38
